"id","service","s_amount"
0,Drive,"[358,91,81,-1952,2733,508,949,-1219,-2883,-647]"
0,Eda,"[-255,684,359,449,-2825,616,2404,1681]"
0,Lavka,"[255,914,674,-315,2290,-678,-340,2418]"
0,Market,"[2151,-727,458,1367,1651,-718,1481,-3627,-2231]"
0,Taxi,"[-2474,-223,-274,429,-15,-179,-1083,-655]"
1,Drive,"[2738,580]"
1,Eda,[-634]
1,Lavka,"[2524,682]"
1,Market,"[-2524,307]"
1,Taxi,"[5517,-2098]"
2,Drive,"[34,1727,-1094,758,-520,762,735,2767,292,318,495,-3519,1054]"
2,Eda,"[286,-1098,389,282,906,1196,246,1452,-1695,-291,-635,-801,260,33,911]"
2,Lavka,"[-906,1070,201,-1519,2302,519,-1876,-1134,-76,1483,143,1192,-3105,790,674,-956,-1778]"
2,Market,"[222,127,-595,-602,-615,-712,552,912,190,969,1052,48,1593,-1199]"
2,Taxi,"[620,-255,-1,232,-70,1330,-363,-191,121,5,1366,-93,-985,-517,-399,540,1140]"
3,Drive,"[1477,628,2400,1395,2592,-15]"
3,Eda,"[969,-58,919,-2073,743]"
3,Lavka,"[-4,-156,-241,-810,-178]"
3,Market,"[-1031,638]"
3,Taxi,"[-63,137]"
4,Drive,"[990,1412,1086,-352,605,725,189,-259,2284,257,36,1734,-949,410,-197,341,1427,2461,2,-320,-786,-1845,-2770]"
4,Eda,"[2683,-78,421,-118,1055,-1568,1882,3332,-709,-38,-1564,3497]"
4,Lavka,"[-990,-41,-35,-1299,421,-258,-108,5,-59,1452,355,1663,-1386,2579,2512,-290,-533,1607,-2883,-18,1520,4435,666,97,-1744,-295,-691,-647,-4446,-412]"
4,Market,"[690,-529,-192,299,305,-21,226,-439,367,-1461,2109,-104,-1111,-859,1026]"
4,Taxi,"[252,469,85,-659,1102,350,-688,2710,-44,-862,-387,-1458,1085,-959,-124,459,-1512]"
5,Drive,"[994,-21,-327,186]"
5,Eda,"[1866,-790,544,210,593,693]"
5,Lavka,"[-1596,1763,53,254,1070]"
5,Market,"[-997,-932,1413,1112,-29,1675,1039,307,908]"
5,Taxi,"[-479,-615,1703,-1143,1202,-680,41]"
6,Drive,"[1356,-691,161,193,395,760,133,3626,-1065,-482,2065]"
6,Eda,"[-320,-2786,3114,-808,-1235,-129,1437,-1604,1686,128,216,596,-1761,745,-673]"
6,Lavka,"[-591,-433,-640,241,-31,-18,-1482,-2571,-285,274,491]"
6,Market,"[593,835,498,2003,1486,431,960,1007,341,379,520,-48,-17,-386,1998]"
6,Taxi,"[-74,-551,-920,4157,1618,-1466,-2685,-480,-2090,-553,-1844,1205,-228,-1196,350,-942,475,259,210,-520]"
7,Drive,"[-1667,-24,-1021]"
7,Eda,"[194,-609,733,1867]"
